# File generated by CMD 3.9 (http://stev.oapd.inaf.it/cmd) on Thu Mar  5 18:00:22 UTC 2026
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# but fundamental-mode LPV periods + transition are from Trabucchi et al. (2021)
# Photometric system: HST/ACS WFC - updated filters and zeropoints, 2021
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  F435Wmag  F475Wmag  F555Wmag  F606Wmag  F625Wmag  F775Wmag  F814Wmag
0.00012351 -2.10000 9.70000 0.9800370336 2.4686385287    0.979  0.714  3.8953  4.248    1  0.000  0.532     0.00     0.00     0.00     0.00     0.00 -1 -4.91e-13      0.00 8.138e-01 1.862e-01 1.841e-05 5.055e-06 4.611e-05 -1.000 7.835e-05 2.984 3.206 3.137 3.026 2.961 2.901 2.773 2.765
0.00012351 -2.10000 9.70000 0.9896305799 2.4707186428    0.988  0.772  3.9002  4.214    1  0.000  0.532     0.00     0.00     0.00     0.00     0.00 -1 -5.81e-13      0.00 8.126e-01 1.874e-01 1.851e-05 5.080e-06 4.634e-05 -1.000 5.069e-05 2.840 3.045 2.980 2.876 2.817 2.762 2.644 2.637
0.00012351 -2.10000 9.70000 0.9921361208 2.4712542918    0.991  0.788  3.9012  4.203    1  0.000  0.533     0.00     0.00     0.00     0.00     0.00 -1 -6.11e-13      0.00 8.122e-01 1.878e-01 1.854e-05 5.088e-06 4.641e-05 -1.000 4.584e-05 2.800 3.001 2.938 2.836 2.778 2.724 2.608 2.601
0.00012351 -2.10000 9.70000 0.9931685328 2.4714741028    0.992  0.795  3.9015  4.198    1  0.000  0.533     0.00     0.00     0.00     0.00     0.00 -1 -6.25e-13      0.00 8.120e-01 1.879e-01 1.855e-05 5.091e-06 4.644e-05 -1.000 4.378e-05 2.783 2.983 2.920 2.819 2.761 2.707 2.592 2.585
0.00012351 -2.10000 9.70000 0.9958096147 2.4720340312    0.995  0.813  3.9018  4.182    1  0.000  0.533     0.00     0.00     0.00     0.00     0.00 -1 -6.62e-13      0.00 8.117e-01 1.883e-01 1.858e-05 5.100e-06 4.651e-05 -1.000 3.862e-05 2.737 2.934 2.871 2.771 2.714 2.661 2.547 2.540
0.00012351 -2.10000 9.70000 0.9977629185 2.4724459536    0.997  0.828  3.9009  4.164    1  0.000  0.533     0.00     0.00     0.00     0.00     0.00 -1    -7e-13      0.00 8.114e-01 1.886e-01 1.860e-05 5.106e-06 4.657e-05 -1.000 3.484e-05 2.699 2.896 2.832 2.732 2.674 2.620 2.505 2.498
0.00012351 -2.10000 9.70000 0.9981101751 2.4725189907    0.997  0.831  3.9006  4.160    1  0.000  0.533     0.00     0.00     0.00     0.00     0.00 -1  -7.1e-13      0.00 8.113e-01 1.887e-01 1.861e-05 5.107e-06 4.658e-05 -1.000 3.411e-05 2.691 2.888 2.825 2.724 2.666 2.612 2.496 2.489
0.00012351 -2.10000 9.70000 1.0000000000 2.4729154477    0.999  0.846  3.9002  4.144    2  0.000  0.533     0.00     0.00     0.00     0.00     0.00 -1 -7.45e-13      0.00 8.110e-01 1.889e-01 1.863e-05 5.113e-06 4.663e-05 -1.000 3.043e-05 2.656 2.852 2.788 2.687 2.629 2.575 2.459 2.451
0.00012351 -2.10000 9.70000 1.0008636713 2.4730960599    1.000  0.852  3.9000  4.137    2  0.000  0.533     0.00     0.00     0.00     0.00     0.00 -1  -7.6e-13      0.00 8.109e-01 1.891e-01 1.864e-05 5.115e-06 4.665e-05 -1.000 3.217e-05 2.639 2.835 2.771 2.670 2.612 2.557 2.441 2.434
0.00012351 -2.10000 9.70000 1.0064581633 2.4742573601    1.005  0.899  3.8962  4.078    2  0.000  0.533     0.00     0.00     0.00     0.00     0.00 -1 -8.93e-13      0.00 8.101e-01 1.898e-01 1.870e-05 5.132e-06 4.680e-05 -1.000 4.366e-05 2.522 2.720 2.655 2.550 2.490 2.433 2.312 2.303
